year,mo,day,leFMDS_Wm2,hFMDS_Wm2
2006,1,21,0.114583333333333,-16.4916666666667
2006,1,22,-1.42379520833333,-7.42916666666667
2006,1,23,0.218012791666667,-10.0770833333333
2006,1,24,-1.77291666666667,-30.56875
2006,1,25,-5.10416666666667,-20.6625
2006,1,26,0.405277770833333,-16.0270833333333
2006,1,27,-1.15074813125,6.63846666666667
2006,1,28,1.85527302083333,-5.77517229166667
2006,1,29,-0.33156780575,-3.22955145833333
2006,1,30,-0.209201,-16.7240422916667
2006,1,31,-2.38333333333333,-39.05
2006,2,1,-4.60416666666667,-12.2354166666667
2006,2,2,1.06875,-13.2520833333333
2006,2,3,2.62916666666667,8.19583333333333
2006,2,4,1.52083333333333,19.2020833333333
2006,2,5,2.725,0.9375
2006,2,6,0.121112735416667,-78.2979166666667
2006,2,7,0.636087020833333,-81.7625
2006,2,8,-0.390874622916667,-27.3375
2006,2,9,0.340370939583333,-26.2708333333333
2006,2,10,0.541666666666667,2.06041666666667
2006,2,11,4.23333333333333,12.01875
2006,2,12,4.17708333333333,5.3625
2006,2,13,-0.1125,-12.2666666666667
2006,2,14,1.84375,-0.99375
2006,2,15,-0.539583333333333,-14.6666666666667
2006,2,16,-0.1252066875,9.43936333333333
2006,2,17,0.213173,-1.78614854166667
2006,2,18,0.904166666666667,-1.97083333333333
2006,2,19,1.30833333333333,0.883333333333333
2006,2,20,1.84791666666667,2.98541666666667
2006,2,21,2.99375,3.78333333333333
2006,2,22,7.86875,15.4270833333333
2006,2,23,1.2625,-6.50625
2006,2,24,8.43541666666667,28.1833333333333
2006,2,25,3.275,10.5916666666667
2006,2,26,6.76041666666667,11.0729166666667
2006,2,27,5.76458333333333,3.39166666666667
2006,2,28,0.10625,-7.42916666666667
2006,3,1,3.59375,24.7479166666667
2006,3,2,4.47291666666667,-5.42916666666667
2006,3,3,2.88207604166667,-7.082326875
2006,3,4,6.825,28.8625
2006,3,5,7.97083333333333,31.4291666666667
2006,3,6,5.2625,6.53125
2006,3,7,6.50994375,23.7145833333333
2006,3,8,22.3168464583333,24.5854166666667
2006,3,9,10.8604166666667,23.1291666666667
2006,3,10,11.3270833333333,36.88125
2006,3,11,8.93958333333333,43.14375
2006,3,12,5.52083333333333,41.8666666666667
2006,3,13,0.620833333333333,32.7125
2006,3,14,3.94583333333333,42.8625
2006,3,15,7.08958333333333,25.31875
2006,3,16,7.51666666666667,23.1291666666667
2006,3,17,4.61041666666667,19.3708333333333
2006,3,18,12.896605625,25.8063041666667
2006,3,19,4.02083333333333,2.50416666666667
2006,3,20,7.52453511666667,2.7149615625
2006,3,21,22.5583333333333,33.53125
2006,3,22,26.0875,29.9333333333333
2006,3,23,25.9729166666667,40.6541666666667
2006,3,24,18.6916666666667,45.4166666666667
2006,3,25,13.76875,61.05625
2006,3,26,-0.0208333333333333,5.43541666666667
2006,3,27,3.62708333333333,-14.66875
2006,3,28,23.6981585416667,-63.63125
2006,3,29,27.9854166666667,-51.6520833333333
