Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS
2001	7	15	15.558	15.792	17.6369	12.7472	2.93862	13.5104	0.408511	22.55	-9999	-9999	-9999
2001	7	16	7.62167	12.6494	14.5853	10.9257	1.37415	12.5912	2.04255	21.9136	-9999	-9999	-9999
2001	7	17	13.0197	14.4487	17.2968	10.1786	3.03098	12.4498	0.208696	21.4196	-9999	-9999	-9999
2001	7	18	22.9166	16.0212	20.9059	11.5815	5.4311	12.6224	0	20.7965	-9999	-9999	-9999
2001	7	19	24.2968	17.8521	21.7435	13.396	5.2763	13.56	0	20.1038	-9999	-9999	-9999
2001	7	20	21.7476	16.7886	20.0728	12.2759	3.33706	13.6647	0.218182	19.4505	-9999	-9999	-9999
2001	7	21	17.6531	16.1816	18.4826	13.8404	3.93062	13.5068	0	18.8745	-9999	-9999	-9999
2001	7	22	19.4041	18.2686	21.651	15.1973	3.88963	14.0473	0	18.2552	-9999	-9999	-9999
2001	7	23	21.0751	18.2396	21.8233	15.1182	4.40266	14.3254	0	17.6218	-9999	-9999	-9999
2001	7	24	19.1684	19.2066	24.7634	14.2283	5.2982	14.4727	0	16.9699	-9999	-9999	-9999
2001	7	25	22.3764	20.3038	24.3887	16.0799	6.3675	14.949	0	16.2726	-9999	-9999	-9999
2001	7	26	25.5849	18.6833	22.1566	14.8073	6.39139	14.7203	0	15.6325	-9999	-9999	-9999
2001	7	27	24.7588	19.8281	23.9693	15.0009	8.04146	14.6798	0	15.0223	-9999	-9999	-9999
2001	7	28	9.8001	18.8764	22.6226	15.4492	3.77553	14.4663	0.436364	14.3763	-9999	-9999	-9999
2001	7	29	21.3236	19.4492	23.1358	14.8543	5.4697	14.8721	0	13.8948	-9999	-9999	-9999
2001	7	30	19.3834	18.8515	22.1797	15.1469	5.59837	15.0246	0	13.184	-9999	-9999	-9999
2001	7	31	11.583	15.1981	17.475	13.0975	3.41754	13.9549	1.56279	12.5585	-9999	-9999	-9999
2001	8	1	20.9744	15.149	18.2074	12.0178	5.4832	13.4476	0	12.1753	-9999	-9999	-9999
2001	8	2	19.6905	16.0646	20.915	11.5552	5.97375	13.2525	0	11.6118	-9999	-9999	-9999
2001	8	3	11.7999	18.4789	23.1962	14.3834	3.95032	14.2475	0	11.0514	-9999	-9999	-9999
2001	8	4	12.9521	16.5095	21.6165	13.4712	2.70086	14.2344	8.96	11.0531	-9999	-9999	-9999
2001	8	5	14.0321	14.5121	18.322	11.9883	2.01903	13.7408	0.853333	12.0164	-9999	-9999	-9999
2001	8	6	19.0983	14.5279	19.0044	11.4558	3.2085	13.4117	7.30435	11.8913	-9999	-9999	-9999
2001	8	7	15.7864	15.1755	18.769	12.2599	3.39148	13.4725	18.3652	16.3496	-9999	-9999	-9999
2001	8	8	11.3669	15.2581	18.4233	12.0102	1.45154	13.5436	13.3953	17.8278	-9999	-9999	-9999
2001	8	9	18.4238	15.5499	18.581	12.0856	4.55581	13.5546	0.468293	18.0758	-9999	-9999	-9999
2001	8	10	8.92121	13.0008	15.9308	11.0388	1.4778	12.8192	5.84348	17.8829	-9999	-9999	-9999
